Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Pota-Potatos,CV Pioni Adya Group,Kentang,Franchise,5jt,Jl. Jinggakartika Kulon No.18 Bandung,022-92699771,,,,
Star Bandrek,PT Liza Herbal International,F&B,Agen,n/a,Jl. Arzimar 3 No.43 Bogor,0251-8350056,,,,
Soyanatura,CV Soyanatura,n/a,BO,n/a,Jl. Paingan III/999 Manguwoharjo Depok Sleman Yogyakarta,0274-9210111/7420911,,,,
Ruthesal Herbs & Spa,Ruthesal Herbs & Spa,Kesehatan,BO,N/A,Jl.Perum Karang Jati Indah II Blok A No.7 Bantul Yogyakarta,0274-413330,,,,
Gw Guyur,PT Pratama Karya Sejahtera Mandiri,Motor Salon,BO & Lisensi,n/a,Jl.Warung Jati Barat No.14 Jakarta,021-7803143,,,,
Murah Motor,Murah Motor,Toko & Bengkel Sepeda,BO,60jt,Jl.Raya Ungaran Gunungpat KM 2 Kab. Semarang,024-70787334,,,,
Super Bento & Super Bakso,PT Raja Bakso Mas Mandiri,F&B,Franchise,30jt,Jl. Kelinci Raya No.23 Jakarta Pusat,021-3521378,,,,
Bebek & Ayam Goreng Pak Ndut,Bebek & Ayam Goreng Pak Ndut,F&B,Franchise,135-300jt,"Jl. Slamet Riyadi No.159 Kartasura Sukoharjo, Jateng",0271-782466,,,,
Mie Ayam Solo Kinasih,Komunitas Bangun Mandiri,Makanan,Mitralaba-Mitrakelola,"5,67jt",Jl. Cempaka Putih Barat IID No.8B Cempaka Putih Jakarta Pusat,021-94972767,,,,
Parpica Arena Bermain Keluarga,PT Adimas Tristar Abadi,Entertainment,BO,n/a,Pusat Grosir Cililitan (PGC-2) Lt.3A no.630 Jl. Mayjen Sutoyo no.76 Jakarta,021-30019800,,,,
Nata Tours,PT Nata Bersama Tour & Travel,Travel,Franchise,Rp. 150jt,Jl.Otista Raya No.82 Jakarta,021-8584727,,,,
Soto Gebrak Cak Anton,Soto Gebrak Cak Anton,F&B,Franchise,n/a,Taman Setiabudi Depan SMA 3 Jakarta,021-5251975,,,,
Teh Sofia,Tofuku Mitra Indonesia,Minuman,BO,5jt,Wonorejo Indah Timur 7-1A Surabaya,031-8792341,,,,
MK Express,PT Megantara Kargo,Jasa Kurir,Franchise,25jt,Jl.Pintu I Senayan Blok B 2nd F1 Room 23. Jakarta,021-70919914,,,,
Teh 16 (Rasa Buah),CV Sukses Group,Minuman,BO,"2,9-6jt",Jl. AR Hakim –Mulya No.1 MEdan,061-7364324,,,,
Rumah Dannis,Rumah Dannis,Fashion Retail,Keagenan,Rp. n/a,Ruko Galaxi Bumi Permai Blok J1 No.25 Surabaya,031-5923375/031-70095283,,,,
Holcim,PT Holcim Indonesia,Pusat Pelayanan untuk Membangun Rumah,Franchise,Rp. n/a,Menara Jamsostek Lt.14 Menara Utara Jl. Jend. Gatot Subroto Kav.38 Jakarta,021-52962011,,,,
Dobbi Burger & Fried Chicken,PT Dobbi Mulia Sejahtera,Fast Food Resto Management,Franchise,170-400jt,Ruko Citra Blok A1 Ring Road Utara Gandok Sleman Yogyakarta,0274-6411600,,,,
Same Same Clothing,Same Same Clothing,Distro,BO,Rp. 30jt,Jl.Banyak Endah No.17 Kota Baru Parahyangan Bandung,0818-809692/0818-208344,,,,
Sweet Purple,Giri Mulia,Makanan & Minuman Olahan Ubi Jalar,BO,20-100jt,Pusat Jajanan K IX bintaro Sektor IX,021-74700001,,,,
